Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/project/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/project/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/project/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/project/Identity, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_5/output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expand/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expand/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expand/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expand/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expand/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expand/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expand/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expand/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/expansion_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/project/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/project/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/project/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/project/Identity, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_6/output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expand/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expand/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expand/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expand/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expand/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expand/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expand/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expand/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/expansion_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/project/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/project/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/project/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/project/Identity, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_7/output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/input, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expand/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expand/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expand/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expand/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expand/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expand/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expand/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expand/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/expansion_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise/depthwise_weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise/depthwise, Layer Type: DepthwiseConv2dNative
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise/BatchNorm/moving_variance/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise/BatchNorm/FusedBatchNormV3, Layer Type: FusedBatchNormV3
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise/Relu6, Layer Type: Relu6
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/depthwise_output, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/project/weights/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/project/Conv2D, Layer Type: Conv2D
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/project/BatchNorm/beta/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/project/BatchNorm/gamma/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/project/BatchNorm/moving_mean/read, Layer Type: Identity
Layer Name: FeatureExtractor/MobilenetV2/expanded_conv_8/project/BatchNorm/moving_variance/read, Layer Type: Identity
